timestamp,event_type,side,price,quantity_change
1767731476722776,orderbook_update,no,43,200
1767731476723899,orderbook_update,no,43,200
1767731476734770,orderbook_update,no,30,20
1767731476780520,orderbook_update,no,42,-20
1767731476781995,orderbook_update,no,30,-20
1767731476837427,orderbook_update,no,43,-200
1767731476838902,orderbook_update,no,43,-200
1767731476886145,orderbook_update,no,41,200
1767731476949772,orderbook_update,no,42,200
1767731477000000,trade,no,55,-1
1767731477139920,orderbook_update,yes,55,-1
1767731477159759,orderbook_update,no,29,-400
1767731477211834,orderbook_update,no,41,400
1767731477247953,orderbook_update,no,42,20
1767731477271954,orderbook_update,yes,55,-99
1767731477275494,orderbook_update,yes,51,30
1767731477276245,orderbook_update,no,44,34
1767731477279626,orderbook_update,no,41,-100
1767731477303795,orderbook_update,no,41,-200
1767731477304564,orderbook_update,no,42,-200
1767731477320363,orderbook_update,yes,47,-200
1767731477334181,orderbook_update,no,41,-400
1767731477352648,orderbook_update,no,42,-200
1767731477363322,orderbook_update,yes,51,200
1767731477383348,orderbook_update,no,42,-20
1767731477384638,orderbook_update,no,30,20
1767731477387575,orderbook_update,no,29,400
1767731477395256,orderbook_update,no,45,200
1767731477395308,orderbook_update,no,44,200
1767731477397653,orderbook_update,no,45,200
1767731477602817,orderbook_update,yes,52,100
1767731477602890,orderbook_update,no,40,100
1767731477652696,orderbook_update,no,29,-400
1767731477668531,orderbook_update,yes,52,-100
1767731477668531,orderbook_update,yes,53,100
1767731477701069,orderbook_update,no,41,400
1767731477706796,orderbook_update,no,45,20
1767731477708515,orderbook_update,no,30,-20
1767731477728755,orderbook_update,yes,53,-100
1767731477728755,orderbook_update,yes,54,100
1767731477753662,orderbook_update,no,45,-200
1767731477757053,orderbook_update,no,44,-200
1767731477804592,orderbook_update,no,45,200
1767731477805359,orderbook_update,no,44,200
1767731477861282,orderbook_update,no,45,-20
1767731477861444,orderbook_update,no,42,20
1767731478943007,orderbook_update,yes,51,-200
1767731478944051,orderbook_update,yes,46,-400
1767731478962860,orderbook_update,no,40,-100
1767731478962860,orderbook_update,no,42,100
1767731478964182,orderbook_update,yes,54,-100
1767731478964182,orderbook_update,yes,52,100
1767731478992238,orderbook_update,yes,2,400
1767731478993828,orderbook_update,yes,47,200
1767731479000000,trade,yes,53,-1
1767731479005050,orderbook_update,yes,30,50
1767731479015431,orderbook_update,no,42,-20
1767731479018570,orderbook_update,no,41,-400
1767731479020086,orderbook_update,no,42,-100
1767731479020086,orderbook_update,no,45,100
1767731479022034,orderbook_update,yes,52,-100
1767731479022034,orderbook_update,yes,51,100
1767731479030992,orderbook_update,no,29,-1000
1767731479039327,orderbook_update,no,20,50
1767731479046024,orderbook_update,no,29,2000
1767731479053506,orderbook_update,yes,2,-400
1767731479063230,orderbook_update,no,43,400
1767731479076943,orderbook_update,no,45,20
1767731479078598,orderbook_update,no,44,-200
1767731479080337,orderbook_update,no,45,-200
1767731479080917,orderbook_update,no,29,1000
1767731479109928,orderbook_update,no,43,-400
1767731479130349,orderbook_update,no,46,200
1767731479132977,orderbook_update,no,46,200
1767731479134025,orderbook_update,no,45,-20
1767731479161705,orderbook_update,yes,31,400
1767731479226753,orderbook_update,no,45,400
1767731479467424,orderbook_update,no,46,20
1767731479516580,orderbook_update,no,46,-200
1767731479518019,orderbook_update,no,45,-200
1767731479569543,orderbook_update,no,47,200
1767731479570943,orderbook_update,no,47,200
1767731479752783,orderbook_update,no,47,-1
1767731480000000,trade,no,51,-2
1767731480955732,orderbook_update,yes,51,-2
1767731481653901,orderbook_update,no,35,-5
1767731481959761,orderbook_update,no,48,1
1767731484000000,trade,no,51,-2
1767731484573351,orderbook_update,yes,51,-2
1767731485000000,trade,yes,53,-18
1767731485000000,trade,yes,53,-114
1767731485247404,orderbook_update,no,48,-1
1767731485896392,orderbook_update,no,47,-18
1767731485963482,orderbook_update,no,47,-114
1767731486024342,orderbook_update,no,45,-400
1767731486072611,orderbook_update,no,29,400
1767731487879842,orderbook_update,yes,51,-100
1767731487879842,orderbook_update,yes,52,100
1767731487883857,orderbook_update,no,45,-100
1767731487883857,orderbook_update,no,43,100
1767731487932140,orderbook_update,no,29,-400
1767731487977610,orderbook_update,no,43,400
1767731487985469,orderbook_update,no,46,-20
1767731487988684,orderbook_update,no,45,20
1767731488036723,orderbook_update,no,47,-200
1767731488043568,orderbook_update,no,47,-67
1767731488085428,orderbook_update,yes,53,1
1767731488091018,orderbook_update,no,45,200
1767731488092710,orderbook_update,no,46,200
1767731488107284,orderbook_update,yes,52,-100
1767731488107284,orderbook_update,yes,53,100
1767731488144578,orderbook_update,no,45,-20
1767731488145367,orderbook_update,no,44,20
1767731488255138,orderbook_update,no,46,-200
1767731488292230,orderbook_update,no,46,-200
1767731488357365,orderbook_update,no,44,200
1767731488358752,orderbook_update,no,45,200
1767731492525486,orderbook_update,yes,51,-26
1767731492526012,orderbook_update,yes,50,34
1767731492526400,orderbook_update,no,44,-34
1767731492526820,orderbook_update,no,45,29
1767731492538343,orderbook_update,yes,50,-34
1767731492539866,orderbook_update,no,45,-29
1767731492576033,orderbook_update,no,45,-200
1767731492576985,orderbook_update,no,44,-200
1767731492624893,orderbook_update,no,44,200
1767731492627137,orderbook_update,no,45,200
1767731492713412,orderbook_update,yes,45,-5000
1767731492714832,orderbook_update,no,28,-5000
1767731492768306,orderbook_update,yes,46,-500
1767731492768691,orderbook_update,no,29,-1000
1767731492769993,orderbook_update,no,29,-2000
1767731492770621,orderbook_update,yes,47,-200
1767731492771942,orderbook_update,no,29,-500
1767731492819826,orderbook_update,yes,32,200
1767731492820075,orderbook_update,yes,2,500
1767731492873253,orderbook_update,yes,32,20
1767731492924875,orderbook_update,yes,32,-200
1767731492973619,orderbook_update,yes,34,200
1767731494573041,orderbook_update,yes,39,5000
1767731494578184,orderbook_update,no,33,5000
1767731494626196,orderbook_update,yes,2,-1000
1767731494626399,orderbook_update,yes,2,-500
1767731494627202,orderbook_update,yes,34,-200
1767731494628104,orderbook_update,no,34,500
1767731494628958,orderbook_update,yes,31,-400
1767731494629265,orderbook_update,no,34,1000
1767731494678279,orderbook_update,yes,41,200
1767731494678884,orderbook_update,yes,39,1000
1767731494679644,orderbook_update,yes,32,-20
1767731494680349,orderbook_update,yes,40,400
1767731494681080,orderbook_update,yes,40,20
1767731494681375,orderbook_update,yes,40,500
1767731494731434,orderbook_update,yes,41,-200
1767731494782860,orderbook_update,yes,42,200
1767731495000000,trade,no,53,-1
1767731495000000,trade,no,53,-28
1767731495000000,trade,no,49,-1
1767731495441512,orderbook_update,yes,48,35
1767731495442512,orderbook_update,yes,53,-1
1767731495442512,orderbook_update,yes,53,-28
1767731495508466,orderbook_update,yes,42,-200
1767731495554354,orderbook_update,yes,53,-72
1767731495554833,orderbook_update,no,43,-100
1767731495560021,orderbook_update,yes,49,200
1767731495571051,orderbook_update,yes,49,32
1767731495573234,orderbook_update,no,46,33
1767731495575971,orderbook_update,yes,48,-35
1767731495603348,orderbook_update,no,43,-400
1767731495621680,orderbook_update,no,45,-200
1767731495623205,orderbook_update,no,45,-200
1767731495626059,orderbook_update,no,44,-200
1767731495667580,orderbook_update,no,34,400
1767731495673433,orderbook_update,no,44,-20
1767731495676673,orderbook_update,no,35,20
1767731495686483,orderbook_update,no,47,200
1767731495689718,orderbook_update,no,46,200
1767731495689855,orderbook_update,no,47,200
1767731495717918,orderbook_update,yes,49,-1
1767731495967962,orderbook_update,no,43,100
1767731496018342,orderbook_update,no,34,-400
1767731496023061,orderbook_update,no,47,6
1767731496027683,orderbook_update,yes,50,100
1767731496070713,orderbook_update,no,43,400
1767731496071653,orderbook_update,no,47,20
1767731496079143,orderbook_update,no,35,-20
1767731496119886,orderbook_update,no,47,-200
1767731496121514,orderbook_update,no,46,-200
1767731496161850,orderbook_update,no,48,200
1767731496163128,orderbook_update,no,48,200
1767731496225307,orderbook_update,no,44,20
1767731496231615,orderbook_update,no,47,-20
1767731496276212,orderbook_update,yes,49,-199
1767731496288805,orderbook_update,no,48,-200
1767731496290666,orderbook_update,no,48,-200
1767731496298293,orderbook_update,yes,50,-100
1767731496298293,orderbook_update,yes,51,100
1767731496328689,orderbook_update,yes,50,200
1767731496336857,orderbook_update,no,47,200
1767731496339445,orderbook_update,no,46,200
1767731496357368,orderbook_update,yes,51,-100
1767731496357368,orderbook_update,yes,52,100
1767731497000000,trade,no,52,-1
1767731497060432,orderbook_update,yes,45,4
1767731497924006,orderbook_update,yes,52,-1
1767731497937535,orderbook_update,yes,52,30
1767731497938309,orderbook_update,no,41,30
1767731497976741,orderbook_update,no,43,-100
1767731497983170,orderbook_update,yes,52,-99
1767731498000000,trade,yes,53,-6
1767731498028946,orderbook_update,no,43,-400
1767731498083060,orderbook_update,no,34,400
1767731498374986,orderbook_update,no,44,-5
1767731498374986,orderbook_update,no,45,5
1767731498449253,orderbook_update,yes,52,100
1767731498449733,orderbook_update,no,43,100
1767731498495573,orderbook_update,no,34,-400
1767731498541302,orderbook_update,no,43,400
1767731498850611,orderbook_update,no,43,-400
1767731498854801,orderbook_update,yes,39,-1000
1767731498864118,orderbook_update,yes,50,-200
1767731498865511,orderbook_update,no,47,-200
1767731498866862,orderbook_update,no,47,-200
1767731498892430,orderbook_update,no,43,-100
1767731498892430,orderbook_update,no,41,100
1767731498893907,orderbook_update,no,34,-1000
1767731498906359,orderbook_update,no,34,400
1767731498907524,orderbook_update,yes,40,1000
1767731498917036,orderbook_update,no,47,-6
1767731498917036,orderbook_update,yes,53,194
1767731498917318,orderbook_update,no,46,-200
1767731498928697,orderbook_update,no,20,-50
1767731498928697,orderbook_update,no,10,50
1767731498933709,orderbook_update,no,34,1000
1767731498941853,orderbook_update,no,41,-100
1767731498941853,orderbook_update,no,39,100
1767731498952839,orderbook_update,yes,50,30
1767731498953368,orderbook_update,yes,49,-32
1767731498954332,orderbook_update,no,45,34
1767731498954852,orderbook_update,no,46,-33
1767731498967120,orderbook_update,yes,50,-30
1767731498968427,orderbook_update,no,45,-34
1767731498971069,orderbook_update,no,43,200
1767731498973109,orderbook_update,no,44,200
1767731498981971,orderbook_update,no,44,-20
1767731498982558,orderbook_update,no,35,20
1767731498988053,orderbook_update,yes,52,30
1767731498988907,orderbook_update,no,43,35
1767731498991398,orderbook_update,no,34,-1000
1767731499000000,trade,yes,55,-5
1767731499000000,trade,yes,57,-23
1767731499000000,trade,no,59,-4
1767731499004632,orderbook_update,yes,52,-30
1767731499004796,orderbook_update,no,40,37
1767731499005377,orderbook_update,no,43,-35
1767731499018167,orderbook_update,yes,52,-100
1767731499018167,orderbook_update,yes,54,100
1767731499019214,orderbook_update,no,44,-200
1767731499022816,orderbook_update,no,45,-5
1767731499022816,orderbook_update,yes,55,33
1767731499022991,orderbook_update,no,40,-37
1767731499029016,orderbook_update,yes,54,1
1767731499033902,orderbook_update,yes,55,-33
1767731499040461,orderbook_update,no,43,-23
1767731499041692,orderbook_update,no,38,44
1767731499055031,orderbook_update,yes,56,33
1767731499056694,orderbook_update,no,39,33
1767731499056989,orderbook_update,no,38,-44
1767731499083974,orderbook_update,no,43,-177
1767731499096158,orderbook_update,yes,39,-5000
1767731499097509,orderbook_update,no,33,-5000
1767731499130139,orderbook_update,yes,52,-30
1767731499132697,orderbook_update,no,41,-30
1767731499135588,orderbook_update,yes,2,-2000
