timestamp,yes_price,no_price
1767778263734803,55.0,40.0
1767778263750114,55.0,43.0
1767778263830825,55.0,40.0
1767778263834016,55.0,44.0
1767778264488015,55.0,40.0
1767778264488066,55.0,43.0
1767778271662595,55.0,42.0
1767778271676023,55.0,34.0
1767778271686177,56.0,34.0
1767778271687489,56.0,39.0
1767778271712695,57.0,39.0
1767778271720041,57.0,38.0
1767778271907246,57.0,39.0
1767778271943106,57.0,38.0
1767778271943106,57.0,40.0
1767778275767176,57.0,41.0
1767778275795575,57.0,40.0
1767778275796452,55.0,40.0
1767778275796452,55.0,43.0
1767778278672177,55.0,40.0
1767778278672261,55.0,42.0
1767778280672936,55.0,43.0
1767778280749088,55.0,40.0
1767778280769826,55.0,44.0
1767778283292983,51.0,44.0
1767778283292983,51.0,45.0
1767778283293238,50.0,45.0
1767778283304590,48.0,45.0
1767778283305489,48.0,44.0
1767778283361493,48.0,46.0
1767778283391242,37.0,46.0
1767778283393439,37.0,52.0
1767778283424144,42.0,52.0
1767778283424377,42.0,46.0
1767778283425782,42.0,53.0
1767778283436790,37.0,53.0
1767778283438033,37.0,46.0
1767778283470467,41.0,46.0
1767778283471866,41.0,54.0
1767778283534565,39.0,54.0
1767778283535318,39.0,46.0
1767778283535733,39.0,56.0
1767778283879255,40.0,56.0
1767778283881821,40.0,55.0
1767778284583895,44.0,55.0
1767778285681520,44.0,52.0
1767778285681520,45.0,52.0
1767778285699521,45.0,53.0
1767778285761956,45.0,54.0
1767778287286116,45.0,53.0
1767778287309540,44.0,53.0
1767778287633072,44.0,54.0
1767778287687573,44.0,53.0
1767778287687573,44.0,55.0
1767778289119706,42.0,55.0
1767778289252386,42.0,53.0
1767778289252386,42.0,56.0
1767778291223381,23.0,56.0
1767778291279368,22.0,56.0
1767778291281608,22.0,52.0
1767778291293957,44.0,52.0
1767778291381588,44.0,51.0
1767778291783992,44.0,52.0
1767778291810148,44.0,51.0
1767778292094337,44.0,52.0
1767778292121312,44.0,51.0
1767778293148650,44.0,52.0
1767778293174709,44.0,51.0
1767778293204476,44.0,53.0
1767778293492204,44.0,51.0
1767778293794404,44.0,52.0
1767778293839344,44.0,51.0
1767778293873851,44.0,52.0
1767778293915419,44.0,51.0
1767778293915419,44.0,53.0
1767778294175501,44.0,55.0
1767778295577608,44.0,51.0
1767778295784294,44.0,52.0
1767778295821357,44.0,51.0
1767778295821357,44.0,53.0
1767778295861345,44.0,51.0
1767778295861345,44.0,54.0
1767778295930143,44.0,51.0
1767778295930143,44.0,55.0
1767778296765330,44.0,51.0
1767778297010484,44.0,52.0
1767778297037317,44.0,51.0
1767778297067093,44.0,52.0
1767778297096990,44.0,51.0
1767778297096990,44.0,53.0
1767778297140797,44.0,51.0
1767778297140797,44.0,54.0
1767778298132263,44.0,51.0
1767778298132263,44.0,53.0
1767778298133580,46.0,53.0
1767778298292653,46.0,51.0
1767778298623698,46.0,52.0
1767778298654487,46.0,51.0
1767778298682680,46.0,52.0
1767778299380542,44.0,52.0
1767778299380542,27.0,52.0
1767778299415108,25.0,52.0
1767778299436156,43.0,52.0
1767778300389079,43.0,53.0
1767778301132920,43.0,52.0
1767778301132920,43.0,54.0
1767778302686907,42.0,54.0
1767778307954305,28.0,54.0
1767778307954336,41.0,54.0
1767778307968864,28.0,54.0
1767778307986710,40.0,54.0
1767778307988212,40.0,55.0
1767778308145836,38.0,55.0
1767778308147145,38.0,57.0
1767778312012883,36.0,57.0
1767778312013688,36.0,56.0
1767778312015918,37.0,56.0
1767778312016913,37.0,58.0
1767778313955035,37.0,59.0
1767778313957001,36.0,59.0
1767778314059748,36.0,58.0
1767778314162441,35.0,58.0
1767778314165134,37.0,58.0
1767778314217801,37.0,59.0
1767778316195582,37.0,58.0
1767778320546552,23.0,58.0
