timestamp_us,yes_volume,yes_slippage,yes_bid,yes_ask,yes_spread,no_volume,no_slippage,no_bid,no_ask,no_spread,bid_sum_discrepancy,ask_sum_discrepancy
1767724264264590,104.35,5.9900,0.1600,0.3800,0.2200,49.06,4.8200,0.6200,0.8400,0.2200,0.220000,-0.220000
1767724264407452,104.35,5.9900,0.3300,0.3800,0.0500,49.06,4.8200,0.6200,0.6700,0.0500,0.050000,-0.050000
1767724264481038,104.35,5.9900,0.3300,0.4200,0.0900,49.06,4.8200,0.5800,0.6700,0.0900,0.090000,-0.090000
1767724264483262,104.35,5.9900,0.3300,0.3700,0.0400,49.06,4.8200,0.6300,0.6700,0.0400,0.040000,-0.040000
1767724264512867,104.35,5.9900,0.1600,0.3700,0.2100,49.06,4.8200,0.6300,0.8400,0.2100,0.210000,-0.210000
1767724264515152,104.35,5.9900,0.3200,0.3700,0.0500,49.06,4.8200,0.6300,0.6800,0.0500,0.050000,-0.050000
1767724264594831,104.35,5.9900,0.1600,0.3700,0.2100,49.06,4.8200,0.6300,0.8400,0.2100,0.210000,-0.210000
1767724264594867,104.35,5.9900,0.3100,0.3700,0.0600,49.06,4.8200,0.6300,0.6900,0.0600,0.060000,-0.060000
1767724264595754,104.35,5.9900,0.3100,0.5400,0.2300,49.06,4.8200,0.4600,0.6900,0.2300,0.230000,-0.230000
1767724264595855,104.35,5.9900,0.3100,0.3600,0.0500,49.06,4.8200,0.6400,0.6900,0.0500,0.050000,-0.050000
1767724265221809,104.35,5.9900,0.3100,0.3500,0.0400,49.06,4.8200,0.6500,0.6900,0.0400,0.040000,-0.040000
1767724265223780,104.35,5.9900,0.3000,0.3500,0.0500,49.06,4.8200,0.6500,0.7000,0.0500,0.050000,-0.050000
1767724266956923,104.35,5.9900,0.3000,0.3600,0.0600,49.06,4.8200,0.6400,0.7000,0.0600,0.060000,-0.060000
1767724266959627,104.35,5.9900,0.3200,0.3600,0.0400,49.06,4.8200,0.6400,0.6800,0.0400,0.040000,-0.040000
1767724267126552,104.35,5.9900,0.3200,0.3700,0.0500,49.06,4.8200,0.6300,0.6800,0.0500,0.050000,-0.050000
1767724267182125,104.35,5.9900,0.3200,0.3600,0.0400,49.06,4.8200,0.6400,0.6800,0.0400,0.040000,-0.040000
1767724267296727,104.35,5.9900,0.3000,0.3600,0.0600,49.06,4.8200,0.6400,0.7000,0.0600,0.060000,-0.060000
1767724267306995,104.35,5.9900,0.3000,0.3500,0.0500,49.06,4.8200,0.6500,0.7000,0.0500,0.050000,-0.050000
1767724270847325,123.25,8.6900,0.3100,0.3500,0.0400,49.06,4.8200,0.6500,0.6900,0.0400,0.040000,-0.040000
1767724271025058,123.25,8.6900,0.3100,0.3600,0.0500,49.06,4.8200,0.6400,0.6900,0.0500,0.050000,-0.050000
1767724271944487,123.25,8.6900,0.3100,0.3500,0.0400,49.06,4.8200,0.6500,0.6900,0.0400,0.040000,-0.040000
1767724271945241,123.25,8.6900,0.3000,0.3500,0.0500,49.06,4.8200,0.6500,0.7000,0.0500,0.050000,-0.050000
1767724273121085,123.25,8.6900,0.2800,0.3500,0.0700,49.06,4.8200,0.6500,0.7200,0.0700,0.070000,-0.070000
1767724273123986,123.25,8.6900,0.2800,0.3100,0.0300,49.06,4.8200,0.6900,0.7200,0.0300,0.030000,-0.030000
1767724273280749,123.25,8.6900,0.2800,0.3200,0.0400,49.06,4.8200,0.6800,0.7200,0.0400,0.040000,-0.040000
