timestamp,yes_bid,no_bid,yes_ask,no_ask
1767731739350918,75.0,24.0,76.0,25.0
1767731741206473,75.0,23.0,77.0,25.0
1767731741471024,75.0,22.0,78.0,25.0
1767731741517598,76.0,22.0,78.0,24.0
1767731741849593,77.0,22.0,78.0,23.0
1767731742932438,77.0,21.0,79.0,23.0
1767731742984151,78.0,21.0,79.0,22.0
1767731751818585,76.0,21.0,79.0,24.0
1767731751818585,77.0,21.0,79.0,23.0
1767731752489876,78.0,21.0,79.0,22.0
1767731754000000,78.0,20.0,80.0,22.0
1767731754726754,78.0,21.0,79.0,22.0
1767731755928285,77.0,21.0,79.0,23.0
1767731758152528,78.0,21.0,79.0,22.0
1767731758552007,77.0,21.0,79.0,23.0
1767731768193075,77.0,20.0,80.0,23.0
1767731768326421,78.0,20.0,80.0,22.0
1767731769272267,79.0,20.0,80.0,21.0
1767731769524178,79.0,19.0,81.0,21.0
1767731769707425,79.0,18.0,82.0,21.0
1767731769758700,80.0,18.0,82.0,20.0
1767731772610586,80.0,17.0,83.0,20.0
1767731773537419,80.0,18.0,82.0,20.0
1767731775000000,80.0,17.0,83.0,20.0
1767731775230179,81.0,17.0,83.0,19.0
1767731775903767,82.0,17.0,83.0,18.0
1767731778271660,81.0,17.0,83.0,19.0
1767731779704603,80.0,17.0,83.0,20.0
1767731780383036,82.0,17.0,83.0,18.0
1767731780707354,80.0,17.0,83.0,20.0
1767731780707354,81.0,17.0,83.0,19.0
1767731782227852,80.0,17.0,83.0,20.0
1767731783658674,80.0,16.0,84.0,20.0
1767731783694019,81.0,16.0,84.0,19.0
1767731783812057,82.0,16.0,84.0,18.0
1767731783860195,81.0,16.0,84.0,19.0
1767731783894801,81.0,17.0,83.0,19.0
1767731786969615,81.0,16.0,84.0,19.0
1767731787018797,82.0,16.0,84.0,18.0
1767731787143923,82.0,15.0,85.0,18.0
1767731787313258,83.0,15.0,85.0,17.0
1767731787366278,84.0,15.0,85.0,16.0
1767731787446245,84.0,14.0,86.0,16.0
1767731787454060,84.0,13.0,87.0,16.0
1767731787490475,85.0,13.0,87.0,15.0
1767731787757608,85.0,12.0,88.0,15.0
1767731789020740,85.0,13.0,87.0,15.0
1767731790157552,86.0,13.0,87.0,14.0
1767731792000000,86.0,12.0,88.0,14.0
1767731792165907,84.0,12.0,88.0,16.0
1767731792209564,85.0,12.0,88.0,15.0
1767731792211147,85.0,14.0,86.0,15.0
1767731792471963,85.0,12.0,88.0,15.0
1767731792471963,87.0,12.0,88.0,13.0
1767731792813391,85.0,12.0,88.0,15.0
1767731793120502,85.0,13.0,87.0,15.0
1767731793320291,83.0,13.0,87.0,17.0
1767731793372273,85.0,13.0,87.0,15.0
1767731793505470,83.0,13.0,87.0,17.0
1767731793506114,83.0,14.0,86.0,17.0
1767731793601885,84.0,14.0,86.0,16.0
1767731793789259,83.0,14.0,86.0,17.0
1767731794009450,84.0,14.0,86.0,16.0
1767731794942519,83.0,14.0,86.0,17.0
1767731798744435,82.0,14.0,86.0,18.0
1767731798815680,82.0,16.0,84.0,18.0
1767731799047557,82.0,17.0,83.0,18.0
1767731799565344,81.0,17.0,83.0,19.0
1767731800153442,81.0,18.0,82.0,19.0
1767731800413173,77.0,18.0,82.0,23.0
1767731800413173,79.0,18.0,82.0,21.0
1767731800478717,79.0,14.0,86.0,21.0
1767731800478717,79.0,19.0,81.0,21.0
1767731800706700,77.0,19.0,81.0,23.0
1767731800706700,78.0,19.0,81.0,22.0
1767731801418719,77.0,19.0,81.0,23.0
1767731801431682,78.0,19.0,81.0,22.0
1767731801911712,79.0,19.0,81.0,21.0
1767731803077833,77.0,19.0,81.0,23.0
1767731803077833,78.0,19.0,81.0,22.0
1767731803486116,78.0,20.0,80.0,22.0
1767731804354724,78.0,21.0,79.0,22.0
1767731804534889,77.0,21.0,79.0,23.0
1767731804649951,77.0,22.0,78.0,23.0
1767731807466242,77.0,19.0,81.0,23.0
1767731807512776,77.0,20.0,80.0,23.0
1767731811387343,78.0,20.0,80.0,22.0
1767731811437603,78.0,19.0,81.0,22.0
1767731811606620,79.0,19.0,81.0,21.0
1767731811701699,80.0,19.0,81.0,20.0
1767731812523158,79.0,19.0,81.0,21.0
